round,global_model_acc,client0_acc,client1_acc,client2_acc
1,0.36666666666666664,0.4875,0.5375,0.4625
2,0.36666666666666664,0.4875,0.5375,0.4625
3,0.36666666666666664,0.4875,0.5375,0.4625
4,0.36666666666666664,0.4875,0.5375,0.4625
5,0.36666666666666664,0.4875,0.5375,0.4625
6,0.36666666666666664,0.4875,0.5375,0.4625
7,0.36666666666666664,0.4875,0.5375,0.4625
8,0.36666666666666664,0.4875,0.5375,0.4625
9,0.36666666666666664,0.4875,0.5375,0.4625
10,0.36666666666666664,0.4875,0.5375,0.4625
