round,global_model_acc,client0_acc,client1_acc,client2_acc
1,0.5333333333333333,0.6,0.475,0.475
2,0.5333333333333333,0.6,0.475,0.475
3,0.5333333333333333,0.6,0.475,0.475
4,0.5333333333333333,0.6,0.475,0.475
5,0.5333333333333333,0.6,0.475,0.475
6,0.5333333333333333,0.6,0.475,0.475
7,0.5333333333333333,0.6,0.475,0.475
8,0.5333333333333333,0.6,0.475,0.475
9,0.5333333333333333,0.6,0.475,0.475
10,0.5333333333333333,0.6,0.475,0.475
